Police Force Area code,Police Force Area name,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2020 to Mar 2021,Apr 2021 to Mar 2022,Apr 2022 to Mar 2023,Apr 2023 to Mar 2024,,,Area Name,Latitude,Longitude
K04000001,ENGLAND AND WALES,520,504,538,689,697,641,676,555,676,585,570,,,England and Wales,52.3555,-1.1743
E92000001,ENGLAND,504,478,505,655,652,614,633,536,642,559,541,,,England,52.3555,-1.1743
E12000001,North East ,26,25,18,27,19,36,28,21,26,37,30,,,North East,54.7753,-1.5849
E23000013,Cleveland,7,5,4,6,3,16,11,7,8,10,13,,,Cleveland,54.5742,-1.2348
E23000008,Durham,4,1,0,4,3,6,5,2,4,7,4,,,Durham,54.7753,-1.5849
E23000007,Northumbria,15,19,14,17,13,14,12,12,14,20,13,,,Northumbria,55.0077,-1.6578
E12000002,North West ,63,86,65,92,124,117,86,92,89,75,73,,,North West,53.7632,-2.7044
E23000006,Cheshire,7,4,4,6,6,18,8,9,2,4,4,,,Cheshire,53.2326,-2.6103
E23000002,Cumbria,4,5,4,4,2,4,5,9,3,1,4,,,Cumbria,54.5772,-2.7975
E23000005,Greater Manchester,29,34,35,50,79,55,35,41,50,31,34,,,Greater Manchester,53.4808,-2.2426
E23000003,Lancashire,10,17,12,13,12,20,22,18,16,16,20,,,Lancashire,53.7632,-2.7044
E23000004,Merseyside,13,26,10,19,25,20,16,15,18,23,11,,,Merseyside,53.4084,-2.9916
E12000003,Yorkshire and the Humber,60,54,51,155,53,63,50,44,65,62,57,,,Yorkshire and the Humber,53.8008,-1.5491
E23000012,Humberside,6,9,8,5,15,9,10,6,8,12,10,,,Humberside,53.7457,-0.3367
E23000009,North Yorkshire,5,8,6,6,6,2,4,4,10,4,1,,,North Yorkshire,54.2326,-1.209
E23000011,South Yorkshire,23,15,13,114,8,22,14,13,21,20,18,,,South Yorkshire,53.4808,-1.21
E23000010,West Yorkshire,26,22,24,30,24,30,22,21,26,26,28,,,West Yorkshire,53.8008,-1.5491
E12000004,East Midlands ,51,37,46,50,49,46,51,41,62,34,58,,,East Midlands,52.9548,-1.1581
E23000018,Derbyshire,8,5,14,13,9,6,11,8,16,3,14,,,Derbyshire,53.122,-1.556
E23000021,Leicestershire,12,7,10,16,16,10,10,9,15,8,13,,,Leicestershire,52.6369,-1.1398
E23000020,Lincolnshire,12,8,6,9,7,6,12,11,11,6,12,,,Lincolnshire,53.2345,-0.538
E23000022,Northamptonshire,6,9,9,3,3,15,6,5,10,9,3,,,Northamptonshire,52.2405,-0.9027
E23000019,Nottinghamshire,13,8,7,9,14,9,12,8,10,8,16,,,Nottinghamshire,52.9548,-1.1581
E12000005,West Midlands ,60,51,63,63,82,70,72,78,84,71,70,,,West Midlands,52.4862,-1.8904
E23000015,Staffordshire,6,13,13,3,10,6,10,14,8,12,13,,,Staffordshire,52.805,-2.116
E23000017,Warwickshire,4,5,9,7,12,2,7,5,9,4,6,,,Warwickshire,52.2823,-1.5849
E23000016,West Mercia,14,9,11,15,17,14,7,19,17,19,8,,,West Mercia,52.191,-2.22
E23000014,West Midlands,36,24,30,38,43,48,48,40,50,36,43,,,East,52.3555,0.1749
E12000006,East ,46,40,53,54,49,58,90,49,71,56,40,,,Bedfordshire,52.1387,-0.4667
E23000026,Bedfordshire,12,4,7,5,3,6,3,4,10,14,9,,,Cambridgeshire,52.2053,0.1218
E23000023,Cambridgeshire,5,6,7,8,7,10,8,14,5,8,5,,,Essex,51.745,0.455
E23000028,Essex,11,10,27,12,24,16,60,17,27,15,13,,,Hertfordshire,51.8,-0.2
E23000027,Hertfordshire,8,8,4,12,8,13,7,4,8,7,3,,,Norfolk,52.6309,1.2974
E23000024,Norfolk,2,7,6,7,5,7,8,5,13,5,6,,,Suffolk,52.1872,0.9708
E23000025,Suffolk,8,5,2,10,2,6,4,5,8,7,4,,,London,51.5074,-0.1278
E12000007,London,106,101,110,110,158,123,146,125,131,120,108,,,City of London,51.5155,-0.0922
E23000034,City of London ,0,1,2,1,2,1,2,0,0,1,0,,,Metropolitan Police,51.5074,-0.1278
E23000001,Metropolitan Police,106,100,108,109,156,122,144,125,131,119,108,,,South East,51.5095,-0.0955
E12000008,South East ,53,43,60,57,83,62,74,44,65,57,53,,,Hampshire,51.0577,-1.3081
E23000030,Hampshire,13,15,6,12,14,9,18,7,15,14,12,,,Kent,51.2787,0.5217
E23000032,Kent,13,8,16,8,12,18,10,11,14,16,14,,,Surrey,51.3148,-0.5599
E23000031,Surrey,6,6,8,7,5,5,4,4,3,3,6,,,Sussex,50.867,0.015
E23000033,Sussex,6,8,13,12,31,16,24,7,10,8,8,,,Thames Valley,51.752,-1.2577
E23000029,Thames Valley,15,6,17,18,21,14,18,15,23,16,13,,,South West,51.4545,-2.5879
E12000009,South West ,39,41,39,47,35,39,36,42,49,47,52,,,Avon and Somerset,51.4545,-2.5879
E23000036,Avon and Somerset,10,11,7,14,16,13,13,16,13,22,23,,,Devon and Cornwall,50.7184,-3.5339
E23000035,Devon and Cornwall,15,12,15,14,12,16,13,12,15,12,11,,,Dorset,50.7156,-2
E23000039,Dorset,7,5,7,9,3,4,3,7,6,2,5,,,Gloucestershire,51.8642,-2.2382
E23000037,Gloucestershire,6,10,6,6,3,5,4,5,11,7,10,,,Wiltshire,51.3492,-1.9927
E23000038,Wiltshire,1,3,4,4,1,1,3,2,4,4,3,,,Wales,52.1307,-3.7837
W92000004,WALES,16,25,30,27,40,21,39,17,34,22,27,,,Dyfed-Powys,52.415,-3.935
W15000004,Dyfed-Powys,3,3,5,3,7,5,10,2,8,6,6,,,Gwent,51.61,-3
W15000002,Gwent,5,6,4,2,7,2,6,4,4,6,3,,,North Wales,53.282,-3.8315
W15000001,North Wales,3,7,4,8,12,4,3,5,8,5,5,,,South Wales,51.4816,-3.1791
W15000003,South Wales,5,9,17,14,14,10,20,6,14,5,13,,,,,
,British Transport Police,0,1,3,7,5,6,4,2,0,4,2,,,,,
