Sex of victim,Victim acquainted with suspect,Relationship to principal suspect,2013-2014_percent,2014-2015_percent,2015-2016_percent,2016-2017_percent,2017-2018_percent,2018-2019_percent,2019-2020_percent,2020-2021_percent,2021-2022_percent,2022-2023_percent,2023-2024_percent,,,,AVERAGE
Male,Victim acquainted with suspect,Son or daughter,50,67.74193548,43.75,50,59.25925926,36.36363636,38.23529412,58.82352941,41.46341463,46.66666667,38.46153846,,,,31.03448276
Male,Victim acquainted with suspect,Other family/friend/acquaintance,10,9.677419355,6.25,11.36363636,14.81481481,30.3030303,14.70588235,14.70588235,19.51219512,16.66666667,3.846153846,,,,
Male,Victim acquainted with suspect,Total ,60,77.41935484,50,61.36363636,74.07407407,66.66666667,52.94117647,73.52941176,60.97560976,63.33333333,42.30769231,,,,
Male,Victim not known to be acquainted with suspect,Stranger,10,3.225806452,0,0,0,12.12121212,14.70588235,2.941176471,4.87804878,6.666666667,7.692307692,,,,
Male,Victim not known to be acquainted with suspect,Relationship not known,0,0,6.25,0,7.407407407,3.03030303,2.941176471,2.941176471,7.317073171,0,7.692307692,,,,
Male,Victim not known to be acquainted with suspect,No suspect charged ,30,19.35483871,43.75,38.63636364,18.51851852,18.18181818,29.41176471,20.58823529,26.82926829,30,42.30769231,,,,
Male,Victim not known to be acquainted with suspect,Total ,40,22.58064516,50,38.63636364,25.92592593,33.33333333,47.05882353,26.47058824,39.02439024,36.66666667,57.69230769,,,,
Male,Total,Total,100,100,100,100,100,100,100,100,100,100,100,,,,
Female,Victim acquainted with suspect,Son or daughter,68,59.09090909,73.68421053,47.61904762,32.35294118,60,54.54545455,73.91304348,20,41.17647059,50,,,,
Female,Victim acquainted with suspect,Other family/friend/acquaintance,8,9.090909091,5.263157895,9.523809524,14.70588235,16.66666667,9.090909091,4.347826087,26.66666667,23.52941176,5.555555556,,,,
Female,Victim acquainted with suspect,Total ,76,68.18181818,78.94736842,57.14285714,47.05882353,76.66666667,63.63636364,78.26086957,46.66666667,64.70588235,55.55555556,,,,
Female,Victim not known to be acquainted with suspect,Stranger,4,4.545454545,10.52631579,9.523809524,23.52941176,0,9.090909091,0,20,11.76470588,0,,,,
Female,Victim not known to be acquainted with suspect,Relationship not known,0,0,5.263157895,4.761904762,0,3.333333333,0,0,0,0,0,,,,
Female,Victim not known to be acquainted with suspect,No suspect charged ,20,27.27272727,5.263157895,28.57142857,29.41176471,20,27.27272727,21.73913043,33.33333333,23.52941176,44.44444444,,,,
Female,Victim not known to be acquainted with suspect,Total ,24,31.81818182,21.05263158,42.85714286,52.94117647,23.33333333,36.36363636,21.73913043,53.33333333,35.29411765,44.44444444,,,,
All victims,Victim acquainted with suspect,Son or daughter,60,62.96296296,60,49.23076923,44.26229508,46.875,42.22222222,63.79310345,35.71428571,44.68085106,43.18181818,,,,
All victims,Victim acquainted with suspect,Other family/friend/acquaintance,8.888888889,9.259259259,5.714285714,10.76923077,14.75409836,23.4375,13.33333333,10.34482759,21.42857143,19.14893617,4.545454545,,,,
All victims,Victim acquainted with suspect,Total ,68.88888889,72.22222222,65.71428571,60,59.01639344,70.3125,55.55555556,74.13793103,57.14285714,63.82978723,47.72727273,,,,
All victims,Victim not known to be acquainted with suspect,Stranger,6.666666667,3.703703704,5.714285714,3.076923077,13.1147541,6.25,13.33333333,1.724137931,8.928571429,8.510638298,4.545454545,,,,
All victims,Victim not known to be acquainted with suspect,Relationship not known,0,0,5.714285714,1.538461538,3.278688525,3.125,2.222222222,1.724137931,5.357142857,0,4.545454545,,,,
All victims,Victim not known to be acquainted with suspect,No suspect charged ,24.44444444,24.07407407,22.85714286,35.38461538,24.59016393,20.3125,28.88888889,22.4137931,28.57142857,27.65957447,43.18181818,,,,
All victims,Victim not known to be acquainted with suspect,Total ,31.11111111,27.77777778,34.28571429,40,40.98360656,29.6875,44.44444444,25.86206897,42.85714286,36.17021277,52.27272727,,,,
Male,Victim acquainted with suspect,Son or daughter,50,67.74193548,43.75,50,59.25925926,36.36363636,38.23529412,58.82352941,41.46341463,46.66666667,38.46153846,,,,
Male,Victim acquainted with suspect,Other family/friend/acquaintance,10,9.677419355,6.25,11.36363636,14.81481481,30.3030303,14.70588235,14.70588235,19.51219512,16.66666667,3.846153846,,,,
Male,Victim acquainted with suspect,Total ,60,77.41935484,50,61.36363636,74.07407407,66.66666667,52.94117647,73.52941176,60.97560976,63.33333333,42.30769231,,,,
Male,Victim not known to be acquainted with suspect,Stranger,10,3.225806452,0,0,0,12.12121212,14.70588235,2.941176471,4.87804878,6.666666667,7.692307692,,,,
Male,Victim not known to be acquainted with suspect,Relationship not known,0,0,6.25,0,7.407407407,3.03030303,2.941176471,2.941176471,7.317073171,0,7.692307692,,,,
Male,Victim not known to be acquainted with suspect,No suspect charged ,30,19.35483871,43.75,38.63636364,18.51851852,18.18181818,29.41176471,20.58823529,26.82926829,30,42.30769231,,,,
Male,Victim not known to be acquainted with suspect,Total ,40,22.58064516,50,38.63636364,25.92592593,33.33333333,47.05882353,26.47058824,39.02439024,36.66666667,57.69230769,,,,
